ID,Longitud (m),Tiempo (s),g_calculado (m/s²),Planeta más probable,2do más probable
b4b64394-b5f5-4280-aa32-fc1aabc99b9e,1.26,0.54,8.64,Saturno,Tierra
a3733170-0377-4799-af7e-db59ed7f5a61,1.34,0.54,9.19,Saturno,Tierra
4875e24f-f671-424d-8646-612f6bd07a5a,1.73,0.49,14.41,Tierra,Saturno
e75c78dc-a418-41bc-b72e-ab6b565fa190,1.15,0.41,13.68,Tierra,Saturno
f974984a-21f0-4320-8184-464ae2f418c4,1.54,0.61,8.28,Saturno,Tierra
af43d749-b9cd-48f1-877f-5612c7f02ed4,1.94,0.63,9.78,Tierra,Saturno
3fc38a7e-c990-48c3-957d-a04792576956,1.98,0.46,18.71,Tierra,Saturno
6a1b1b64-94e5-45ac-bbda-d9fab80f979a,1.72,0.51,13.23,Tierra,Saturno
bf0484c7-3b8b-4eee-b3f5-a964f4a3a0a5,1.2,0.58,7.13,Saturno,Tierra
658472ac-07ff-4b82-b759-0d4ae9a08370,2.22,0.49,18.49,Tierra,Saturno
6d0eac71-8ff6-44fe-b21a-c69bb3a12073,1.99,0.49,16.58,Tierra,Saturno
4b34712a-9692-4007-8491-ef911e585a77,1.39,0.56,8.86,Saturno,Tierra
99c8b23d-8218-4b1b-aa20-ef1e68f021f2,1.09,0.64,5.32,Saturno,Tierra
3ef76132-9df9-4f59-a317-8fb96b4cc80f,1.56,0.7,6.37,Saturno,Tierra
8c1a4d96-bcd5-41b4-92cf-b8691c298fda,1.99,0.63,10.03,Tierra,Saturno
6aaf11bc-1c30-46ca-b964-91aa37d38f5a,1.55,0.57,9.54,Tierra,Saturno
b543f1e4-71d5-4257-b650-a95a70c9088d,1.4,0.69,5.88,Saturno,Tierra
fd1304d6-3bce-4fa7-92d1-57d1d326c1be,0.82,0.69,3.44,Saturno,Tierra
1182bd04-6268-4d66-b749-546f5e297546,1.27,0.42,14.4,Tierra,Saturno
1b04dba4-d9e9-42b2-a01d-56638988f6eb,1.69,0.66,7.76,Saturno,Tierra
2fe355f1-b1bf-4b7a-9e1c-8e8a5b268f87,2.12,0.43,22.93,Tierra,Saturno
6e3df537-8214-4843-94df-e94cb8254eaf,2.34,0.5,18.72,Tierra,Saturno
309a2386-faf1-47c5-95b6-37481ef3fe60,2.5,0.46,23.63,Tierra,Saturno
9e2ce977-1918-45cd-ae38-3a47deab793a,2.27,0.5,18.16,Tierra,Saturno
122fc579-fbf1-45d2-abff-a54bd3d10e6e,0.85,0.46,8.03,Saturno,Tierra
aa1d3439-0614-4d31-9872-d520928b50f8,2.03,0.58,12.07,Tierra,Saturno
ea8cd1a7-de22-447e-8f19-45fa62c95185,1.24,0.69,5.21,Saturno,Tierra
d6888afc-8eba-41f6-9cba-01ededa2db6e,1.49,0.65,7.05,Saturno,Tierra
09c74528-fbd0-47c5-9247-3d5e85646a9d,1.55,0.58,9.22,Saturno,Tierra
84b9a236-1427-4d84-a1e3-fac41048c350,1.32,0.66,6.06,Saturno,Tierra
7cad9e28-5510-4747-8641-1b6c00be22f2,1.2,0.55,7.93,Saturno,Tierra
808af754-7b9e-494b-8e97-ecbbadb8c25a,2.39,0.59,13.73,Tierra,Saturno
fc617ca7-675d-4bb3-b14a-256f46e2a0ad,1.92,0.44,19.83,Tierra,Saturno
aef87ad9-df07-4a67-bb93-0218567a4ee7,1.78,0.46,16.82,Tierra,Saturno
7c52aa01-885e-4fe9-b05f-da94fd7fdce2,1.57,0.46,14.84,Tierra,Saturno
17a8ff4a-a0d9-43c5-be63-addf3e477670,1.43,0.44,14.77,Tierra,Saturno
01c42a04-e0d4-4460-b7ed-f7235d5dc3ae,1.92,0.53,13.67,Tierra,Saturno
b30cd190-f6ea-415c-a119-1fdd1e0b8adf,1.63,0.6,9.06,Saturno,Tierra
f7d2dd17-73cf-4855-baba-53ad5fc9eb55,1.31,0.54,8.98,Saturno,Tierra
