ID,Longitud (m),Tiempo (s),g_calculado (m/s²),Planeta más probable,2do más probable,3ro más probable
12c224ef-5387-4168-8d5c-3eb1526c1eef,2.06,0.66,9.46,Tierra,Saturno,Urano
aa08f5d8-4acb-4bbd-8945-2b31369770a0,1.37,0.42,15.53,Neptuno,Tierra,Saturno
c310dd49-b55a-4523-b88a-4950f93d8a39,1.77,0.53,12.6,Neptuno,Tierra,Saturno
e32795bf-59ce-4ae5-8439-a8868abe21aa,1.94,0.52,14.35,Neptuno,Tierra,Saturno
64cf77b5-c149-4317-bb72-fa5f2a803493,1.26,0.61,6.77,Urano,Saturno,Tierra
b19b6a2a-8cbd-415c-a0b6-471fe2235507,0.98,0.64,4.79,Marte,Urano,Saturno
0d958351-2476-49b6-9431-b92342c3424f,2.21,0.69,9.28,Saturno,Tierra,Urano
1317b4d6-05de-4ed5-91b4-2e5c767e4b1b,1.55,0.49,12.91,Neptuno,Tierra,Saturno
51c9a2a7-4015-4171-9ab4-9baadddbbb07,2.48,0.69,10.42,Neptuno,Tierra,Saturno
0432b654-4eff-4f13-a884-d48aa94752e4,2.39,0.63,12.04,Neptuno,Tierra,Saturno
d3bd76de-9835-4c7b-85a6-5ac04e326da4,1.25,0.57,7.69,Urano,Saturno,Tierra
738322bf-8bd3-495a-b122-7ca3ebeddbe1,1.42,0.7,5.8,Marte,Urano,Saturno
a41cee26-337f-4ef6-9db2-8187a9194ac7,0.97,0.47,8.78,Urano,Saturno,Tierra
afb669d8-0e14-4794-929f-4f20d5b5416f,2.47,0.7,10.08,Tierra,Neptuno,Saturno
b0716aed-dc0c-4909-a04b-34ff29543181,2.41,0.57,14.84,Neptuno,Tierra,Saturno
82cd289e-5f8a-48fd-b296-17bce063f88b,1.92,0.48,16.67,Neptuno,Tierra,Saturno
44edbecd-82c8-40f9-a66a-4d2e2fee0f12,1.34,0.47,12.13,Neptuno,Tierra,Saturno
51d2cf26-8368-44dc-bdfd-d994c101cdec,1.44,0.66,6.61,Urano,Saturno,Marte
e1e72d36-c5fe-40fa-b0a1-34da6389730d,1.0,0.68,4.33,Marte,Urano,Saturno
e2026eb3-1018-4a98-a14b-2689a4139480,2.48,0.54,17.01,Neptuno,Tierra,Júpiter
835f0903-1362-4264-be63-6a1f7991db4c,1.19,0.44,12.29,Neptuno,Tierra,Saturno
ed259ca1-b711-4139-8e13-da1e3073c0d6,1.55,0.65,7.34,Urano,Saturno,Tierra
2ceac01f-28dc-4a13-aab0-94ef1351c3ec,1.5,0.63,7.56,Urano,Saturno,Tierra
828b8319-7b2e-4a96-9d14-30e2c6f9dafa,0.83,0.47,7.51,Urano,Saturno,Tierra
242139e5-fbde-4fd3-b5e0-a6f137d5f496,1.97,0.66,9.04,Saturno,Urano,Tierra
3a0cfae6-c63d-4631-89b2-22e638b7b44c,1.55,0.61,8.33,Urano,Saturno,Tierra
