ID,Longitud (m),Tiempo (s),g_calculado (m/s²),Planeta más probable,2do más probable,3ro más probable
2e4af9df-4f2e-453c-b4d2-c1512ab88f14,0.95,0.44,9.81,Tierra,Saturno,Urano
b180207b-0478-46a0-a5b9-c48b2f5b3f7b,2.22,0.47,20.1,Júpiter,Neptuno,Tierra
4619787b-d2ac-4e55-b8c6-3b20e01ed64b,2.18,0.66,10.01,Tierra,Neptuno,Saturno
9c948705-ded9-4bc2-b8e8-bc908064a307,1.48,0.7,6.04,Marte,Urano,Saturno
72f68e4c-f216-45ef-b38c-fab4b572a3f4,0.94,0.44,9.71,Tierra,Saturno,Urano
a9b0eec8-62be-43bb-a931-8edc7ebdbc0a,2.39,0.47,21.64,Júpiter,Neptuno,Tierra
7fc6b584-b3c8-4b04-89cd-a9bd2c624677,1.36,0.54,9.33,Saturno,Tierra,Urano
99fa8a7a-9197-47bf-acd5-c55f33dbde91,1.99,0.46,18.81,Júpiter,Neptuno,Tierra
73a5ceae-afa2-4464-8189-48ef0e785fe8,2.32,0.58,13.79,Neptuno,Tierra,Saturno
ba11ee5a-2a28-4f44-92c5-6f6eca3152bf,1.5,0.6,8.33,Urano,Saturno,Tierra
b1dfd095-f94a-4e52-b758-3551e41bc4a9,2.01,0.55,13.29,Neptuno,Tierra,Saturno
f66ca385-f812-4d1d-90f1-35158b3b06bc,1.11,0.48,9.64,Tierra,Saturno,Urano
fa7fbeb4-50e0-47bf-9d0d-0ae38aeb9ee3,1.27,0.56,8.1,Urano,Saturno,Tierra
1260231f-a88a-4d40-bed1-51f97e9863d9,1.0,0.46,9.45,Tierra,Saturno,Urano
eec30e17-c903-45ec-987d-7a22dd2b563f,2.06,0.58,12.25,Neptuno,Tierra,Saturno
94eb8ba7-e1ea-4ab4-8028-0920835db3e5,1.98,0.6,11.0,Neptuno,Tierra,Saturno
91164194-7600-47e2-87e5-8efc17c37b9d,2.13,0.6,11.83,Neptuno,Tierra,Saturno
61061978-91dc-4d73-81e6-dc6561498fa9,1.62,0.46,15.31,Neptuno,Tierra,Saturno
8ac11c5d-1dff-4823-a002-083187ab2aa3,1.44,0.54,9.88,Tierra,Saturno,Neptuno
57a5e41c-6197-46ca-9868-15f1f03e3e69,1.29,0.41,15.35,Neptuno,Tierra,Saturno
b2145bd3-c833-44f8-aa43-8004e5ef99bc,0.86,0.58,5.11,Marte,Urano,Saturno
cb80e5e3-7a97-46a1-a4ee-7c252d98d8cb,2.36,0.48,20.49,Júpiter,Neptuno,Tierra
3178ccd7-9237-49fe-ac34-e82dba80b97b,2.38,0.53,16.95,Neptuno,Tierra,Júpiter
1437f521-7fd4-42fb-9477-c51cc86df33c,2.27,0.44,23.45,Júpiter,Neptuno,Tierra
db194fab-6921-403b-a9e4-523babcd9aa7,2.49,0.67,11.09,Neptuno,Tierra,Saturno
e8dd35ab-ba87-44c0-a52f-21d7dc92237a,1.59,0.43,17.2,Neptuno,Tierra,Júpiter
a9e5782c-67d0-4ab9-8368-0901d8b308f0,0.94,0.66,4.32,Marte,Urano,Saturno
2c6ad255-4da8-46bd-b336-71c73726ff4e,0.99,0.69,4.16,Marte,Urano,Saturno
8e91a279-7653-4e54-9b5a-cec240ba125c,0.93,0.49,7.75,Urano,Saturno,Tierra
da2723f0-902f-4e16-adb8-0e223cf4ea70,0.95,0.6,5.28,Marte,Urano,Saturno
defcae97-2160-46c9-9cf5-676ec91c82dc,1.55,0.68,6.7,Urano,Saturno,Marte
39391c52-d687-41aa-bf87-5cace983f769,1.24,0.66,5.69,Marte,Urano,Saturno
42b73d67-0f0f-4c00-985a-e293f5b92872,2.46,0.41,29.27,Júpiter,Neptuno,Tierra
e6ee7bf6-39d4-40d1-b30c-036a18bf85bf,1.27,0.57,7.82,Urano,Saturno,Tierra
d8ae84b9-4012-4eb6-aefe-da755a1de841,2.19,0.67,9.76,Tierra,Saturno,Urano
54fb8eb7-9154-4302-a7a0-b268ea81b4db,1.05,0.48,9.11,Saturno,Urano,Tierra
c729c3a0-764d-45c0-b071-c36d7de0a853,2.21,0.67,9.85,Tierra,Saturno,Urano
a5ec0d51-6716-4aec-a2a4-857c3c2ce362,1.12,0.57,6.89,Urano,Saturno,Tierra
99b8458c-5115-42ca-b6dc-cf8ced66d6b0,1.94,0.59,11.15,Neptuno,Tierra,Saturno
37806e35-7075-40a1-84e6-0f2f452b5068,2.43,0.43,26.28,Júpiter,Neptuno,Tierra
6c5c25de-f5be-49d6-b0dc-c54e6bc8254b,1.39,0.58,8.26,Urano,Saturno,Tierra
7f4b5d91-be8f-4020-996d-6ba4d2b16fa1,1.23,0.53,8.76,Urano,Saturno,Tierra
9c43c455-6c2e-4b81-8a39-0b08ad8cea22,1.79,0.54,12.28,Neptuno,Tierra,Saturno
c421a606-676f-4594-a4f7-38f2d5eeb3fc,2.04,0.48,17.71,Neptuno,Júpiter,Tierra
146b2b0c-3276-46b4-873a-12598f464528,1.33,0.59,7.64,Urano,Saturno,Tierra
8b011703-26a2-46d8-ac8d-1ce2125bd9c5,1.15,0.61,6.18,Marte,Urano,Saturno
a72ea83e-9d71-47be-b545-8c902d07c17d,1.28,0.56,8.16,Urano,Saturno,Tierra
dae0638e-f32e-483e-8114-8b060132aed6,1.59,0.45,15.7,Neptuno,Tierra,Saturno
11b249c8-087d-4275-8ee5-e76e1e8b9139,1.83,0.46,17.3,Neptuno,Tierra,Júpiter
8a39926c-330e-4cf8-b88d-197d3103a3f8,2.29,0.53,16.3,Neptuno,Tierra,Saturno
